Date,Open,High,Low,Close,Adj Close,Volume
2016-04-11,3.150000,3.375000,2.925000,3.150000,3.150000,3467
2016-04-12,3.150000,3.600000,3.150000,3.150000,3.150000,10800
2016-04-13,3.150000,3.375000,2.925000,2.925000,2.925000,13804
2016-04-14,3.150000,3.150000,3.150000,3.150000,3.150000,2911
2016-04-15,2.925000,3.150000,2.700000,2.925000,2.925000,10413
2016-04-18,2.925000,3.375000,2.925000,3.150000,3.150000,13120
2016-04-19,2.925000,3.375000,2.925000,3.150000,3.150000,13547
2016-04-20,3.150000,3.150000,3.150000,3.150000,3.150000,11804
2016-04-21,2.925000,2.925000,2.925000,2.925000,2.925000,11076
2016-04-22,2.925000,3.150000,2.925000,3.150000,3.150000,7867
2016-04-25,2.925000,2.925000,2.925000,2.925000,2.925000,7076
2016-04-26,2.925000,3.150000,2.700000,2.925000,2.925000,10169
2016-04-27,2.700000,2.925000,2.700000,2.925000,2.925000,8404
2016-04-28,2.925000,2.925000,2.925000,2.925000,2.925000,2511
2016-04-29,3.150000,3.150000,2.700000,2.925000,2.925000,6036
2016-05-02,2.700000,3.150000,2.700000,2.925000,2.925000,8676
2016-05-03,2.925000,2.925000,2.700000,2.925000,2.925000,6969
2016-05-04,2.925000,3.150000,2.700000,2.925000,2.925000,10027
2016-05-05,2.700000,2.925000,2.700000,2.700000,2.700000,7204
2016-05-06,2.925000,3.150000,2.700000,2.700000,2.700000,6596
2016-05-09,2.700000,2.700000,2.700000,2.700000,2.700000,2156
2016-05-10,2.700000,2.700000,2.700000,2.700000,2.700000,800
2016-05-11,2.700000,2.700000,2.700000,2.700000,2.700000,3267
2016-05-12,2.700000,3.375000,2.700000,3.150000,3.150000,55542
2016-05-13,3.600000,3.600000,2.925000,3.150000,3.150000,86493
2016-05-16,2.925000,2.925000,2.925000,2.925000,2.925000,6071
2016-05-17,2.925000,2.925000,2.925000,2.925000,2.925000,8889
2016-05-18,2.925000,2.925000,2.925000,2.925000,2.925000,7902
2016-05-19,2.700000,2.925000,2.700000,2.925000,2.925000,31853
2016-05-20,2.925000,2.925000,2.925000,2.925000,2.925000,400
2016-05-24,2.700000,2.925000,2.475000,2.925000,2.925000,14978
2016-05-25,2.700000,2.700000,2.475000,2.475000,2.475000,19889
2016-05-26,2.475000,2.475000,2.475000,2.475000,2.475000,698
2016-05-27,2.475000,2.700000,2.475000,2.475000,2.475000,8547
2016-05-30,2.700000,2.700000,2.700000,2.700000,2.700000,200
2016-05-31,2.475000,2.475000,2.475000,2.475000,2.475000,1636
2016-06-01,3.375000,3.375000,2.700000,2.925000,2.925000,49489
2016-06-02,2.925000,2.925000,2.925000,2.925000,2.925000,6067
2016-06-03,2.700000,2.925000,2.475000,2.925000,2.925000,6222
2016-06-06,2.700000,2.925000,2.475000,2.475000,2.475000,17702
2016-06-07,2.475000,2.475000,2.475000,2.475000,2.475000,520
2016-06-08,2.475000,2.475000,2.475000,2.475000,2.475000,10418
2016-06-09,2.475000,2.475000,2.475000,2.475000,2.475000,1622
2016-06-10,2.475000,2.475000,2.475000,2.475000,2.475000,4187
2016-06-13,2.475000,2.475000,2.475000,2.475000,2.475000,444
2016-06-14,2.475000,2.700000,2.250000,2.700000,2.700000,18467
2016-06-15,2.475000,2.475000,2.250000,2.475000,2.475000,14173
2016-06-16,2.475000,2.700000,2.475000,2.475000,2.475000,2738
2016-06-17,2.700000,2.700000,2.250000,2.475000,2.475000,8067
2016-06-20,2.475000,2.475000,2.250000,2.250000,2.250000,10004
2016-06-21,2.250000,2.475000,2.250000,2.475000,2.475000,5733
2016-06-22,2.250000,2.475000,2.250000,2.250000,2.250000,12369
2016-06-23,2.250000,2.475000,2.250000,2.250000,2.250000,10853
2016-06-24,2.250000,2.250000,2.250000,2.250000,2.250000,3991
2016-06-27,2.250000,2.475000,2.250000,2.475000,2.475000,3560
2016-06-28,2.250000,2.475000,2.250000,2.250000,2.250000,7116
2016-06-29,2.025000,2.250000,2.025000,2.025000,2.025000,35902
2016-06-30,2.250000,2.475000,2.025000,2.025000,2.025000,15480
2016-07-04,2.025000,2.025000,2.025000,2.025000,2.025000,44
2016-07-05,2.025000,2.025000,2.025000,2.025000,2.025000,2222
2016-07-06,2.025000,2.025000,2.025000,2.025000,2.025000,1387
2016-07-07,2.025000,2.025000,2.025000,2.025000,2.025000,1142
2016-07-08,2.025000,2.025000,2.025000,2.025000,2.025000,13360
2016-07-11,2.025000,2.250000,2.025000,2.025000,2.025000,7111
2016-07-12,2.025000,2.025000,2.025000,2.025000,2.025000,0
2016-07-13,2.025000,2.025000,1.800000,2.025000,2.025000,11720
2016-07-14,2.025000,2.025000,1.800000,1.800000,1.800000,13991
2016-07-15,1.800000,1.800000,1.800000,1.800000,1.800000,622
2016-07-18,1.800000,1.800000,1.575000,1.575000,1.575000,25462
2016-07-19,1.575000,1.575000,1.575000,1.575000,1.575000,2667
2016-07-20,1.575000,1.800000,1.575000,1.800000,1.800000,1182
2016-07-21,1.575000,1.575000,1.575000,1.575000,1.575000,3751
2016-07-22,1.575000,1.575000,1.575000,1.575000,1.575000,4178
2016-07-25,1.575000,1.575000,1.350000,1.575000,1.575000,17276
2016-07-26,1.575000,1.575000,1.575000,1.575000,1.575000,0
2016-07-27,1.350000,1.575000,1.350000,1.575000,1.575000,3049
2016-07-28,1.575000,1.575000,1.575000,1.575000,1.575000,4231
2016-07-29,1.575000,1.800000,1.350000,1.800000,1.800000,5644
2016-08-02,1.575000,1.800000,1.575000,1.800000,1.800000,2631
2016-08-03,1.575000,1.800000,1.350000,1.800000,1.800000,3493
2016-08-04,1.575000,1.800000,1.575000,1.800000,1.800000,1200
2016-08-05,1.575000,1.575000,1.575000,1.575000,1.575000,547
2016-08-08,1.800000,1.800000,1.800000,1.800000,1.800000,444
2016-08-09,1.800000,1.800000,1.800000,1.800000,1.800000,0
2016-08-10,1.800000,1.800000,1.800000,1.800000,1.800000,0
2016-08-11,1.800000,1.800000,1.800000,1.800000,1.800000,0
2016-08-12,1.575000,1.575000,1.350000,1.575000,1.575000,66698
2016-08-15,1.350000,1.575000,1.350000,1.350000,1.350000,13956
2016-08-16,1.350000,1.350000,1.350000,1.350000,1.350000,0
2016-08-17,1.575000,1.575000,1.350000,1.350000,1.350000,378
2016-08-18,1.350000,1.350000,1.350000,1.350000,1.350000,5689
2016-08-19,1.575000,1.575000,1.350000,1.575000,1.575000,9987
2016-08-22,1.575000,1.575000,1.575000,1.575000,1.575000,40
2016-08-23,1.350000,1.350000,1.350000,1.350000,1.350000,44
2016-08-24,1.350000,1.350000,1.350000,1.350000,1.350000,8089
2016-08-25,1.350000,1.350000,1.350000,1.350000,1.350000,800
2016-08-26,1.350000,1.350000,1.350000,1.350000,1.350000,2822
2016-08-29,1.350000,1.350000,1.350000,1.350000,1.350000,1169
2016-08-30,1.350000,1.350000,1.350000,1.350000,1.350000,1289
2016-08-31,1.350000,1.350000,1.350000,1.350000,1.350000,2222
2016-09-01,1.350000,1.350000,1.350000,1.350000,1.350000,862
2016-09-02,1.350000,1.575000,1.350000,1.350000,1.350000,14756
2016-09-06,1.350000,1.350000,1.350000,1.350000,1.350000,111
2016-09-07,1.350000,1.350000,1.350000,1.350000,1.350000,23858
2016-09-08,1.350000,1.350000,1.350000,1.350000,1.350000,8511
2016-09-09,1.350000,1.350000,1.350000,1.350000,1.350000,0
2016-09-12,1.350000,1.350000,1.350000,1.350000,1.350000,3480
2016-09-13,1.350000,1.350000,1.125000,1.350000,1.350000,2933
2016-09-14,1.125000,1.350000,1.125000,1.350000,1.350000,1956
2016-09-15,1.125000,1.125000,1.125000,1.125000,1.125000,28591
2016-09-16,1.125000,1.125000,1.125000,1.125000,1.125000,613
2016-09-19,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-20,1.125000,1.125000,1.125000,1.125000,1.125000,2093
2016-09-21,1.125000,1.125000,1.125000,1.125000,1.125000,28667
2016-09-22,1.125000,1.125000,1.125000,1.125000,1.125000,396
2016-09-23,1.125000,1.125000,1.125000,1.125000,1.125000,1067
2016-09-26,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-27,1.125000,1.125000,1.125000,1.125000,1.125000,9200
2016-09-28,1.125000,1.125000,1.125000,1.125000,1.125000,11413
2016-09-29,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-09-30,1.125000,1.125000,1.125000,1.125000,1.125000,0
2016-10-03,1.125000,1.125000,1.125000,1.125000,1.125000,113253
2016-10-04,1.125000,1.125000,0.900000,0.900000,0.900000,44667
2016-10-05,0.900000,0.900000,0.900000,0.900000,0.900000,11600
2016-10-06,0.900000,1.125000,0.900000,0.900000,0.900000,20880
2016-10-07,0.900000,1.125000,0.900000,0.900000,0.900000,8858
2016-10-11,0.900000,1.125000,0.900000,0.900000,0.900000,6227
2016-10-12,0.900000,0.900000,0.900000,0.900000,0.900000,1467
2016-10-13,0.750000,0.900000,0.750000,0.900000,0.900000,11400
2016-10-14,0.825000,0.825000,0.825000,0.825000,0.825000,13933
2016-10-17,0.825000,0.825000,0.825000,0.825000,0.825000,1760
2016-10-18,0.825000,0.825000,0.825000,0.825000,0.825000,2533
2016-10-19,0.825000,0.825000,0.825000,0.825000,0.825000,0
2016-10-20,0.675000,0.750000,0.675000,0.750000,0.750000,1360
2016-10-21,0.750000,1.050000,0.750000,0.975000,0.975000,32640
2016-10-24,0.975000,1.125000,0.975000,1.125000,1.125000,22160
2016-10-25,1.050000,1.125000,1.050000,1.125000,1.125000,17173
2016-10-26,1.050000,1.050000,0.900000,0.900000,0.900000,6467
2016-10-27,0.825000,0.900000,0.750000,0.900000,0.900000,21947
2016-10-28,0.900000,0.900000,0.900000,0.900000,0.900000,20000
