Date,Open,High,Low,Close,Adj Close,Volume
2016-04-11,0.051429,0.068571,0.051429,0.068571,0.068571,32083
2016-04-12,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-04-13,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-04-14,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-04-15,0.085714,0.085714,0.085714,0.085714,0.085714,58333
2016-04-18,0.085714,0.085714,0.085714,0.085714,0.085714,0
2016-04-19,0.085714,0.085714,0.085714,0.085714,0.085714,0
2016-04-20,0.085714,0.085714,0.085714,0.085714,0.085714,0
2016-04-21,0.085714,0.085714,0.085714,0.085714,0.085714,0
2016-04-22,0.085714,0.085714,0.085714,0.085714,0.085714,0
2016-04-25,0.068571,0.068571,0.068571,0.068571,0.068571,5833
2016-04-26,0.051429,0.068571,0.051429,0.068571,0.068571,28000
2016-04-27,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-04-28,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-04-29,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-02,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-03,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-04,0.085714,0.085714,0.068571,0.068571,0.068571,145833
2016-05-05,0.068571,0.068571,0.068571,0.068571,0.068571,29167
2016-05-06,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-09,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-10,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-11,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-12,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-13,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-16,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-17,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-18,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-19,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-20,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-24,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-25,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-26,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-27,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-30,0.068571,0.068571,0.068571,0.068571,0.068571,0
2016-05-31,0.085714,0.085714,0.085714,0.085714,0.085714,10500
2016-06-01,0.085714,0.085714,0.085714,0.085714,0.085714,0
2016-06-02,0.068571,0.068571,0.068571,0.068571,0.068571,35000
2016-06-03,0.102857,0.102857,0.102857,0.102857,0.102857,58333
2016-06-06,0.102857,0.102857,0.102857,0.102857,0.102857,0
2016-06-07,0.102857,0.102857,0.102857,0.102857,0.102857,0
2016-06-08,0.102857,0.102857,0.102857,0.102857,0.102857,0
2016-06-09,0.102857,0.102857,0.102857,0.102857,0.102857,0
2016-06-10,0.102857,0.102857,0.102857,0.102857,0.102857,0
2016-06-13,0.102857,0.102857,0.102857,0.102857,0.102857,0
2016-06-14,0.068571,0.085714,0.068571,0.085714,0.085714,17500
2016-06-15,0.085714,0.085714,0.085714,0.085714,0.085714,0
2016-06-16,0.085714,0.085714,0.085714,0.085714,0.085714,0
2016-06-17,0.085714,0.085714,0.085714,0.085714,0.085714,0
